Feature,Importance
X11,0.5384334811227578
X6,0.3690841065618586
X2_X6_Interaction,0.021099615911153034
X4,0.017636660151820985
X8,0.014960232184074603
X2,0.011843509691895094
X8_Age,0.010188447714396155
X5,0.0060791073970337265
X7,0.003983766877837295
X10,0.002200987870631207
X3,0.001366682326768105
X4_Category,0.001263593747379809
X9,0.0009362667569609769
X2_Category,0.0007724385699524265
X4_IsZero,0.0001511031154802203
